SITE_ID,LATITUDE,LONGITUDE,NAME,STATE,LICENSING_AREA_ID,POSTCODE,SITE_PRECISION,ELEVATION,HCIS_L2,ASSIGNMENTS
3332,-33.864292,151.211542,Governor Phillip Tower 1 Farrer Place SYDNEY,NSW,2,2000,Within 10 metres,28,NV7M,209
3371,-33.857106,151.215389,Opera House Bennelong Point CIRCULAR QUAY,NSW,2,2000,Within 10 metres,0,NV7M,86
3457,-33.892173,151.199347,Redfern Railway Station (Underground)  REDFERN,NSW,2,2016,Within 10 metres,undefined,NV7M,35
3540,-33.87468,151.220915,Railway Station KINGS CROSS,NSW,2,2011,Unknown,undefined,NV7M,34
3718,-33.892185,151.25007,Bondi Junction Plaza 500 Oxford Street BONDI JUNCTION,NSW,2,2022,Within 10 metres,89,NV7M,32
3736,-33.891198,151.248645,Bondi Junction Railway Station (Underground) BONDI JUNCTION,NSW,2,2022,Within 10 metres,undefined,NV7M,38
3764,-33.879404,151.235952,Edgecliff Railway Station (Underground)  EDGECLIFF,NSW,2,2027,Unknown,undefined,NV7M,34
3901,-33.884681,151.149396,Market Place Leichardt Cnr Marion & Flood Sts LEICHHARDT,NSW,2,2040,Within 10 metres,undefined,NV7M,48
4229,-33.581669,151.186045,Sydney Trains 35m Lattice Tower Repeater Trail via Pacific Hwy COWAN,NSW,2,2081,Within 10 metres,218,NV7I,62
4245,-33.692724,151.222139,Bush Fire Brigade Tower Emergency Services Centre Kamber Road TERREY HILLS,NSW,2,2084,Within 10 metres,185,NV7I,241
4378,-33.643235,151.314145,Comms (Telstra) Monopole Sydney Water Board Site off Plateau Road BILGOLA PLATEAU,NSW,2,2107,Within 10 metres,154,NV7J,144
4494,-33.74005,151.05798,Axicom 45m Lattice Tower Corner of Loftus Rd and Pennant Hills Rd PENNANT HILLS,NSW,2,2120,Within 10 metres,178,NV7I,206
5019,-33.862243,150.855999,Endeavour Energy Border Road HORSLEY PARK,NSW,2,2164,Within 10 metres,undefined,MV9P,30
5200,-33.898968,151.046863,Sydney Trains 47m Lattice Tower 110 Hume Hwy CHULLORA,NSW,2,2190,Within 10 metres,64,NV7M,172
5278,-33.919058,151.010943,Axicom 20m Monopole 1a Simmat Avenue CONDELL PARK,NSW,2,2200,Within 10 metres,40,NV7M,116
5371,-33.962238,151.132628,Railway Station KOGARAH,NSW,2,2217,Unknown,undefined,NV7M,16
5386,-33.967363,151.102213,Railway Station HURSTVILLE,NSW,2,2220,Unknown,undefined,NV7M,18
5496,-34.181492,151.039281,NSWTA 40m Monopole Garawarra Ridge Trail off Garie Rd LILYVALE,NSW,2,2508,Within 10 metres,178,NW1A,30
5507,-34.03167,151.057028,Sutherland Railway Station SUTHERLAND,NSW,2,2232,Within 10 metres,undefined,NW1A,75
5532,-34.08486,151.0159,Axicom 36m lattice tower 35 Bottle Forest Road HEATHCOTE,NSW,2,2233,Within 10 metres,undefined,NW1A,26
5625,-33.289446,151.236294,Telstra Radio Terminal MANGROVE,NSW,2,2250,Unknown,363,NV7E,240
5628,-33.406084,151.295477,Sydney Trains 55m Lattice Tower Mt Penang 209 Debenham Road SOMERSBY,NSW,2,2250,Within 10 metres,246,NV7F,59
5707,-33.294467,151.367119,"Central Coast Council 65m Lattice Tower Ourimbah State Forest, cnr of Scaddens Ridge Rd and Potters Gully Rd OURIMBAH",NSW,2,2258,Within 10 metres,175,NV7F,77
5731,-33.19518,151.50227,Sydney Trains 45m Lattice Tower off Wyee Road WYEE,NSW,2,2262,Within 10 metres,undefined,NV7C,30
5799,-33.024918,151.64877,Belmont Hospital BELMONT,NSW,3,2280,Within 100 metres,21,NV7C,132
5840,-32.890673,151.538615,Transgrid Site Mount Sugarloaf via NEWCASTLE,NSW,3,2286,Within 100 metres,375,NV4O,143
5852,-32.93207,151.689989,Ausgrid 40m Lattice Tower 4/154 Lookout Rd NEW LAMBTON HEIGHTS,NSW,3,2305,Within 10 metres,111,NV4O,112
6054,-32.73162,152.131117,Comms Site Gan Gan Hill near NELSON BAY,NSW,3,2301,Within 100 metres,140,NV5I,150
6084,-32.763513,151.223085,Ausgrid 40m Lattice Tower Brokenback Rd POKOLBIN,NSW,4,2330,Within 10 metres,590,NV4M,170
